"Variable"	"Log Odds Ratio"	"2.5% C.I."	"97.5% C.I."	"P-value"	"Test"	"metric"	"Num_samples"	"R2"
"(Intercept)"	-0.609782245498154	-1.50998936113129	0.290424870134986	0.172449480423525	"Linear regression"	"Beta coefficient"	22	0.0589584972599267
"Sex"	0.856399601959041	-0.22884253542555	1.94164173934363	0.115032480694532	"Linear regression"	"Beta coefficient"	22	0.0589584972599267
"Rare_Deleterious_SNVs"	0.0112589150173906	-0.483440363281159	0.505958193315941	0.962504001935696	"Linear regression"	"Beta coefficient"	22	0.0589584972599267
