"Variable"	"Log Odds Ratio"	"2.5% C.I."	"97.5% C.I."	"P-value"	"Test"	"metric"	"Num_samples"	"R2"
"(Intercept)"	-0.0388890262676905	-0.184818610426282	0.107040557890901	0.601187873860374	"Linear regression"	"Beta coefficient"	1234	0.000165758434522822
"Sex"	0.0455816671545277	-0.11241368785668	0.203577022165735	0.571492720592301	"Linear regression"	"Beta coefficient"	1234	0.000165758434522822
"Rare_Deleterious_SNVs"	-0.0383980995380259	-0.0943232384041886	0.0175270393281368	0.178217784829873	"Linear regression"	"Beta coefficient"	1234	0.000165758434522822
