"Variable"	"Log Odds Ratio"	"2.5% C.I."	"97.5% C.I."	"P-value"	"Test"	"metric"	"Num_samples"	"R2"
"(Intercept)"	1.15156530663405	0.219016565791587	2.08411404747652	0.0161979533620779	"Linear regression"	"Beta coefficient"	78	0.0850825096603277
"Sex"	-0.65675399735083	-1.17321582879713	-0.140292165904528	0.0133899818701274	"Linear regression"	"Beta coefficient"	78	0.0850825096603277
"`Genes DEL`"	-0.129931458666587	-0.353650215276852	0.0937872979436775	0.250954781533851	"Linear regression"	"Beta coefficient"	78	0.0850825096603277
