"Variable"	"Log Odds Ratio"	"2.5% C.I."	"97.5% C.I."	"P-value"	"Test"	"metric"	"Num_samples"	"R2"
"(Intercept)"	-0.493500238736378	-1.37853064463989	0.391530167167137	0.271440437028783	"Linear regression"	"Beta coefficient"	109	0.0191530763554583
"Sex"	0.32927799759309	-0.147274182651551	0.805830177837731	0.173614984087609	"Linear regression"	"Beta coefficient"	109	0.0191530763554583
"All_rare_del_var"	0.0485851952918274	-0.136723302410394	0.233893692994048	0.60428110999681	"Linear regression"	"Beta coefficient"	109	0.0191530763554583
