"Variable"	"Log Odds Ratio"	"2.5% C.I."	"97.5% C.I."	"P-value"	"Test"	"metric"	"Num_samples"	"R2"
"(Intercept)"	-0.852869695017471	-1.83197431173839	0.126234921703444	0.0836335219384813	"Linear regression"	"Beta coefficient"	20	0.22100377216221
"Sex"	1.11349647324998	-0.0398713133217619	2.26686425982172	0.057543805149985	"Linear regression"	"Beta coefficient"	20	0.22100377216221
"`STRs exonic LOEUF<0.35`"	0.0126040899040447	-0.499792995610399	0.525001175418488	0.959215042935494	"Linear regression"	"Beta coefficient"	20	0.22100377216221
