"Variable"	"Log Odds Ratio"	"2.5% C.I."	"97.5% C.I."	"P-value"	"Test"	"metric"	"Num_samples"	"R2"
"(Intercept)"	-0.501796882838386	-1.35725215900783	0.353658393331055	0.247456744500197	"Linear regression"	"Beta coefficient"	109	0.063511412184902
"Sex"	0.333845342073488	-0.126750493356143	0.79444117750312	0.153660340710352	"Linear regression"	"Beta coefficient"	109	0.063511412184902
"`STRs exonic`"	-0.24581125369098	-0.424915087121242	-0.0667074202607178	0.00760878585771046	"Linear regression"	"Beta coefficient"	109	0.063511412184902
