"Variable"	"Log Odds Ratio"	"2.5% C.I."	"97.5% C.I."	"P-value"	"Test"	"metric"	"Num_samples"	"R2"
"(Intercept)"	0.0729413743443959	-0.702199825789237	0.848082574478029	0.852708701474682	"Linear regression"	"Beta coefficient"	147	0.0193332894732049
"Sex"	-0.0398905182403652	-0.454058685127311	0.374277648646581	0.849284654545401	"Linear regression"	"Beta coefficient"	147	0.0193332894732049
"`Genes DUP`"	0.136630702367486	-0.026298086750651	0.299559491485622	0.0995875446829162	"Linear regression"	"Beta coefficient"	147	0.0193332894732049
