"Variable"	"Log Odds Ratio"	"2.5% C.I."	"97.5% C.I."	"P-value"	"Test"	"metric"	"Num_samples"	"R2"
"(Intercept)"	-0.429782023521543	-1.40928849031348	0.549724443270389	0.38458343811442	"Linear regression"	"Beta coefficient"	74	-0.0144073244668104
"Sex"	0.266432911442517	-0.275221382827451	0.808087205712485	0.330023893504292	"Linear regression"	"Beta coefficient"	74	-0.0144073244668104
"Rare_Deleterious_SNVs_LOEUF"	0.0014398713992225	-0.232538205294727	0.235417948093172	0.990244237652373	"Linear regression"	"Beta coefficient"	74	-0.0144073244668104
