"Variable"	"Log Odds Ratio"	"2.5% C.I."	"97.5% C.I."	"P-value"	"Test"	"metric"	"Num_samples"	"R2"
"(Intercept)"	0.187895058802747	-0.904290269281391	1.28008038688689	0.72345995804869	"Linear regression"	"Beta coefficient"	23	0.0110051591064347
"Sex"	-0.227451913287536	-1.43011821332441	0.975214386749341	0.697384426981162	"Linear regression"	"Beta coefficient"	23	0.0110051591064347
"`DUPs LOEUF<0.35`"	0.0661481875931972	-0.399949211477111	0.532245586663506	0.770252787424013	"Linear regression"	"Beta coefficient"	23	0.0110051591064347
