"Variable"	"Log Odds Ratio"	"2.5% C.I."	"97.5% C.I."	"P-value"	"Test"	"metric"	"Num_samples"	"R2"
"(Intercept)"	0.0198875937824959	-0.164557182662921	0.204332370227913	0.832441668147424	"Linear regression"	"Beta coefficient"	842	8.14435464539961e-05
"Sex"	-0.0166829544757396	-0.216009836613299	0.182643927661819	0.869550876706435	"Linear regression"	"Beta coefficient"	842	8.14435464539961e-05
"SCZ_PRS"	-0.00543984994437462	-0.0770604225976993	0.06618072270895	0.88152487302212	"Linear regression"	"Beta coefficient"	842	8.14435464539961e-05
"All_rare_del_var"	0.0034728070174876	-0.0663867800571302	0.0733323940921054	0.922294557794597	"Linear regression"	"Beta coefficient"	842	8.14435464539961e-05
