"Variable"	"Log Odds Ratio"	"2.5% C.I."	"97.5% C.I."	"P-value"	"Test"	"metric"	"Num_samples"	"R2"
"(Intercept)"	0.236972148847472	-0.542865571811156	1.0168098695061	0.549031209457431	"Linear regression"	"Beta coefficient"	147	-0.0105885092230378
"Sex"	-0.129471327158206	-0.546109112640343	0.287166458323931	0.540035145603034	"Linear regression"	"Beta coefficient"	147	-0.0105885092230378
"`DELs LOEUF<0.35`"	-0.0259166298861406	-0.189857296557824	0.138024036785542	0.755137132993528	"Linear regression"	"Beta coefficient"	147	-0.0105885092230378
