"Variable"	"Log Odds Ratio"	"2.5% C.I."	"97.5% C.I."	"P-value"	"Test"	"metric"	"Num_samples"	"R2"
"(Intercept)"	0.206278818869319	-0.557694991753466	0.970252629492104	0.594394379913787	"Linear regression"	"Beta coefficient"	148	0.0139360484256625
"Sex"	-0.113071352565405	-0.522266895755112	0.296124190624303	0.585804160262353	"Linear regression"	"Beta coefficient"	148	0.0139360484256625
"`DUPs LOEUF<0.35`"	-0.112219225432602	-0.27559246250036	0.051154011635157	0.176697304043197	"Linear regression"	"Beta coefficient"	148	0.0139360484256625
