"Variable"	"Log Odds Ratio"	"2.5% C.I."	"97.5% C.I."	"P-value"	"Test"	"metric"	"Num_samples"	"R2"
"(Intercept)"	-0.259247175014383	-1.21774032627087	0.699245976242105	0.593571149057116	"Linear regression"	"Beta coefficient"	137	-0.0122984596939377
"Sex"	0.146053196210579	-0.360516221532415	0.652622613953574	0.569467650556275	"Linear regression"	"Beta coefficient"	137	-0.0122984596939377
"SCZ_PRS"	-0.00863974271883538	-0.184841250081717	0.167561764644046	0.922887701495238	"Linear regression"	"Beta coefficient"	137	-0.0122984596939377
