"Variable"	"Log Odds Ratio"	"2.5% C.I."	"97.5% C.I."	"P-value"	"Test"	"metric"	"Num_samples"	"R2"
"(Intercept)"	-0.864330521575835	-1.96604310707522	0.237382063923548	0.116221861264894	"Linear regression"	"Beta coefficient"	20	0.129461143044093
"Sex"	1.1287775753278	-0.206833546219696	2.46438869687529	0.0924361027503178	"Linear regression"	"Beta coefficient"	20	0.129461143044093
"All_rare_del_var"	0.0193306217720044	-0.57403018995641	0.612691433500419	0.946003379557227	"Linear regression"	"Beta coefficient"	20	0.129461143044093
