"Variable"	"Log Odds Ratio"	"2.5% C.I."	"97.5% C.I."	"P-value"	"Test"	"metric"	"Num_samples"	"R2"
"(Intercept)"	-0.269182880586815	-1.23671147887311	0.698345717699479	0.580941385023665	"Linear regression"	"Beta coefficient"	76	0.0770560201659823
"Sex"	0.171319098445904	-0.359082017437637	0.701720214329446	0.521763763861718	"Linear regression"	"Beta coefficient"	76	0.0770560201659823
"SCZ_PRS"	0.271512799987793	0.0490192283236288	0.494006371651958	0.0174648091750498	"Linear regression"	"Beta coefficient"	76	0.0770560201659823
