"Variable"	"Log Odds Ratio"	"2.5% C.I."	"97.5% C.I."	"P-value"	"Test"	"metric"	"Num_samples"	"R2"
"(Intercept)"	-0.111687061395834	-0.262630258920509	0.0392561361288403	0.146839164387312	"Linear regression"	"Beta coefficient"	1138	0.00430603070517732
"Sex"	0.125134928755269	-0.0385288051146426	0.288798662625181	0.133851087764273	"Linear regression"	"Beta coefficient"	1138	0.00430603070517732
"SCZ_PRS"	-0.0636778129233982	-0.122044256452316	-0.00531136939448019	0.0325185626523575	"Linear regression"	"Beta coefficient"	1138	0.00430603070517732
