"Variable"	"Log Odds Ratio"	"2.5% C.I."	"97.5% C.I."	"P-value"	"Test"	"metric"	"Num_samples"	"R2"
"(Intercept)"	0.282575856454046	-0.86326272737595	1.42841444028404	0.611696490682745	"Linear regression"	"Beta coefficient"	22	0.0206076238125507
"Sex"	-0.385959672929128	-1.66366990432372	0.891750558465462	0.534763190285555	"Linear regression"	"Beta coefficient"	22	0.0206076238125507
"Rare_Deleterious_SNVs_LOEUF"	0.0449904042655922	-0.459412563182513	0.549393371713697	0.853884182259893	"Linear regression"	"Beta coefficient"	22	0.0206076238125507
