"Variable"	"Log Odds Ratio"	"2.5% C.I."	"97.5% C.I."	"P-value"	"Test"	"metric"	"Num_samples"	"R2"
"(Intercept)"	0.234184391074833	-0.791808390321392	1.26017717247106	0.649944443870646	"Linear regression"	"Beta coefficient"	67	-0.0277042435613886
"Sex"	-0.134165136841495	-0.704577464098581	0.436247190415591	0.640037498877804	"Linear regression"	"Beta coefficient"	67	-0.0277042435613886
"`Genes DUP`"	0.00502857023483657	-0.232217162124409	0.242274302594082	0.96635700063001	"Linear regression"	"Beta coefficient"	67	-0.0277042435613886
