"Variable"	"Log Odds Ratio"	"2.5% C.I."	"97.5% C.I."	"P-value"	"Test"	"metric"	"Num_samples"	"R2"
"(Intercept)"	0.0350582238191842	-0.112668370565363	0.182784818203731	0.641577220003215	"Linear regression"	"Beta coefficient"	1177	-0.00135810723711205
"Sex"	-0.0438604554749734	-0.203995278383418	0.116274367433471	0.591105356091526	"Linear regression"	"Beta coefficient"	1177	-0.00135810723711205
"`DELs LOEUF<0.35`"	0.00912390666685004	-0.0478021620466856	0.0660499753803857	0.753227405167714	"Linear regression"	"Beta coefficient"	1177	-0.00135810723711205
