"Variable"	"Log Odds Ratio"	"2.5% C.I."	"97.5% C.I."	"P-value"	"Test"	"metric"	"Num_samples"	"R2"
"(Intercept)"	-0.262838195884305	-1.27352660455097	0.747850212782359	0.607029083651684	"Linear regression"	"Beta coefficient"	104	0.0169694400051481
"Sex"	0.0929409259234674	-0.448392132230215	0.63427398407715	0.734099659479965	"Linear regression"	"Beta coefficient"	104	0.0169694400051481
"SCZ_PRS"	-0.0794107740693002	-0.293025606517215	0.134204058378615	0.462523322639629	"Linear regression"	"Beta coefficient"	104	0.0169694400051481
"All_rare_del_var"	0.0974152645011661	-0.104324882366151	0.299155411368483	0.340368096538386	"Linear regression"	"Beta coefficient"	104	0.0169694400051481
