"Variable"	"Log Odds Ratio"	"2.5% C.I."	"97.5% C.I."	"P-value"	"Test"	"metric"	"Num_samples"	"R2"
"(Intercept)"	0.122600461934954	-0.659093587241575	0.904294511111484	0.757005387873525	"Linear regression"	"Beta coefficient"	147	0.00133399257272504
"Sex"	-0.0670230380328034	-0.48469084592552	0.350644769859913	0.751566086264464	"Linear regression"	"Beta coefficient"	147	0.00133399257272504
"`Genes DEL`"	0.026626668583839	-0.137714945914979	0.190968283082657	0.749246695221281	"Linear regression"	"Beta coefficient"	147	0.00133399257272504
