"Variable"	"Log Odds Ratio"	"2.5% C.I."	"97.5% C.I."	"P-value"	"Test"	"metric"	"Num_samples"	"R2"
"(Intercept)"	-0.302978708272542	-1.14254509773498	0.536587681189899	0.476644667464446	"Linear regression"	"Beta coefficient"	138	-0.0100941114547273
"Sex"	0.173365346187134	-0.275484494911317	0.622215187285585	0.446277195953262	"Linear regression"	"Beta coefficient"	138	-0.0100941114547273
"Rare_Deleterious_SNVs_LOEUF"	0.0121515787185683	-0.155734268706034	0.180037426143171	0.886388803917649	"Linear regression"	"Beta coefficient"	138	-0.0100941114547273
