"Variable"	"Log Odds Ratio"	"2.5% C.I."	"97.5% C.I."	"P-value"	"Test"	"metric"	"model"	"Num_samples"	"R2"
"(Intercept)"	-0.264894297811371	-1.00853020411538	0.455571553888699	0.473348679916424	"Logistic regression"	"Log odds ratio"	"model2"	88	0.000711797087790479
"Sex"	-0.086242086124023	-0.983409934631032	0.820451356688273	0.850483115118275	"Logistic regression"	"Log odds ratio"	"model2"	88	0.000711797087790479
"SCZ_PRS"	-0.0276179470051163	-0.466533619281065	0.409648582122705	0.900470444725725	"Logistic regression"	"Log odds ratio"	"model2"	88	0.000711797087790479
