"Variable"	"Log Odds Ratio"	"2.5% C.I."	"97.5% C.I."	"P-value"	"Test"	"metric"	"Num_samples"	"R2"
"(Intercept)"	-0.80182250633279	-1.92219424498769	0.318549232322107	0.134424043175715	"Linear regression"	"Beta coefficient"	11	0.0793324889418203
"Sex"	0.606087632600389	-1.48411004695332	2.6962853121541	0.514984850009109	"Linear regression"	"Beta coefficient"	11	0.0793324889418203
"SCZ_PRS"	0.564977917389334	-1.04489129358134	2.17484712836001	0.434004764992727	"Linear regression"	"Beta coefficient"	11	0.0793324889418203
"All_rare_del_var"	0.00113323749138578	-1.04012952044805	1.04239599543082	0.998018458048519	"Linear regression"	"Beta coefficient"	11	0.0793324889418203
