"Variable"	"Log Odds Ratio"	"2.5% C.I."	"97.5% C.I."	"P-value"	"Test"	"metric"	"Num_samples"	"R2"
"(Intercept)"	-0.418223990005046	-1.12600142778017	0.289553447770082	0.214124567700825	"Linear regression"	"Beta coefficient"	12	0.364085296030259
"Sex"	0.0256835348889674	-1.2037454723832	1.25511254216113	0.963339757096124	"Linear regression"	"Beta coefficient"	12	0.364085296030259
"All_rare_del_var"	-0.768573598180925	-1.37390259641441	-0.163244599947438	0.0184101480591122	"Linear regression"	"Beta coefficient"	12	0.364085296030259
