"Variable"	"Log Odds Ratio"	"2.5% C.I."	"97.5% C.I."	"P-value"	"Test"	"metric"	"Num_samples"	"R2"
"(Intercept)"	-0.251180584871798	-1.02737746408147	0.525016294337876	0.520917109607722	"Linear regression"	"Beta coefficient"	75	0.0065682731125178
"Sex"	0.142619494969389	-0.331544758762985	0.616783748701762	0.550658102081072	"Linear regression"	"Beta coefficient"	75	0.0065682731125178
"Rare_Deleterious_SNVs_LOEUF"	0.0399161844260316	-0.198125471438268	0.277957840290331	0.7391435358415	"Linear regression"	"Beta coefficient"	75	0.0065682731125178
