"Variable"	"Log Odds Ratio"	"2.5% C.I."	"97.5% C.I."	"P-value"	"Test"	"metric"	"Num_samples"	"R2"
"(Intercept)"	0.868020197195762	-0.757720789275779	2.4937611836673	0.280796094504053	"Linear regression"	"Beta coefficient"	26	0.0951972466707902
"Sex"	-0.595698621022069	-1.56401478078978	0.372617538745637	0.21586868841708	"Linear regression"	"Beta coefficient"	26	0.0951972466707902
"`DELs LOEUF<0.35`"	-0.97281031884306	-1.96997672913017	0.0243560914440442	0.0553886900549	"Linear regression"	"Beta coefficient"	26	0.0951972466707902
