"Variable"	"Log Odds Ratio"	"2.5% C.I."	"97.5% C.I."	"P-value"	"Test"	"metric"	"Num_samples"	"R2"
"(Intercept)"	0.0897712985364058	-1.63343445071095	1.81297704778377	0.914316351285942	"Linear regression"	"Beta coefficient"	22	0.0909267347696669
"Sex"	0.00131684518676572	-0.985829275295898	0.988462965669429	0.997801354591686	"Linear regression"	"Beta coefficient"	22	0.0909267347696669
"All_rare_del_var"	0.308020038156511	-0.160198717472764	0.776238793785787	0.184549574575774	"Linear regression"	"Beta coefficient"	22	0.0909267347696669
