"Variable"	"Log Odds Ratio"	"2.5% C.I."	"97.5% C.I."	"P-value"	"Test"	"metric"	"Num_samples"	"R2"
"(Intercept)"	0.792186746861857	-1.13714082649563	2.72151432021934	0.393371996864935	"Linear regression"	"Beta coefficient"	20	0.264276027677419
"Sex"	-0.323816439855792	-1.47590202310787	0.828269143396284	0.556258665128601	"Linear regression"	"Beta coefficient"	20	0.264276027677419
"SCZ_PRS"	-0.172261141959406	-0.77691969219885	0.432397408280038	0.550973456512437	"Linear regression"	"Beta coefficient"	20	0.264276027677419
"Rare_Deleterious_SNVs_LOEUF"	0.269798712699889	-0.235792465390392	0.77538989079017	0.271597944733317	"Linear regression"	"Beta coefficient"	20	0.264276027677419
"`DELs LOEUF<0.35`"	0.133682627483504	-0.928188555837302	1.19555381080431	0.79108844600771	"Linear regression"	"Beta coefficient"	20	0.264276027677419
"`DUPs LOEUF<0.35`"	0.500480561783946	-0.0868908929644425	1.08785201653233	0.0890126089216117	"Linear regression"	"Beta coefficient"	20	0.264276027677419
