"Variable"	"Log Odds Ratio"	"2.5% C.I."	"97.5% C.I."	"P-value"	"Test"	"metric"	"Num_samples"	"R2"
"(Intercept)"	0.137285474321545	-0.510930971597538	0.785501920240627	0.609541336659184	"Linear regression"	"Beta coefficient"	11	0.51437021486063
"Sex"	0.171247586521585	-1.463949506762	1.80644467980517	0.798526506357115	"Linear regression"	"Beta coefficient"	11	0.51437021486063
"SCZ_PRS"	0.0536733800098981	-0.983212515790234	1.09055927581003	0.899332531081755	"Linear regression"	"Beta coefficient"	11	0.51437021486063
"Rare_Deleterious_SNVs_LOEUF"	-0.40311837323618	-0.952143395806475	0.145906649334115	0.117747216446639	"Linear regression"	"Beta coefficient"	11	0.51437021486063
"`DELs LOEUF<0.35`"	-0.647921158612656	-1.17877222538488	-0.117070091840428	0.0257393756914128	"Linear regression"	"Beta coefficient"	11	0.51437021486063
"`DUPs LOEUF<0.35`"	0.122532939084055	-0.608710276491958	0.853776154660067	0.684589060213679	"Linear regression"	"Beta coefficient"	11	0.51437021486063
