"Variable"	"Log Odds Ratio"	"2.5% C.I."	"97.5% C.I."	"P-value"	"Test"	"metric"	"Num_samples"	"R2"
"(Intercept)"	-0.250259845080991	-0.844849724488971	0.344330034326989	0.365899720357886	"Linear regression"	"Beta coefficient"	12	0.480342319162761
"Sex"	0.432492987746173	-0.600326096558804	1.46531207205115	0.368235554062061	"Linear regression"	"Beta coefficient"	12	0.480342319162761
"All_rare_del_var"	-0.629505361904258	-1.13803032590029	-0.120980397908223	0.0207013151691823	"Linear regression"	"Beta coefficient"	12	0.480342319162761
