"Variable"	"Log Odds Ratio"	"2.5% C.I."	"97.5% C.I."	"P-value"	"Test"	"metric"	"Num_samples"	"R2"
"(Intercept)"	0.184438932373992	-1.30935726354857	1.67823512829656	0.80067127723989	"Linear regression"	"Beta coefficient"	26	0.154633471531164
"Sex"	-0.131545806764215	-0.997724637796854	0.734633024268424	0.756227518613444	"Linear regression"	"Beta coefficient"	26	0.154633471531164
"`Genes DUP`"	0.467346280105762	-0.00417438821829191	0.938866948429815	0.0518965817577904	"Linear regression"	"Beta coefficient"	26	0.154633471531164
