"Variable"	"Log Odds Ratio"	"2.5% C.I."	"97.5% C.I."	"P-value"	"Test"	"metric"	"Num_samples"	"R2"
"(Intercept)"	-0.299995096558302	-0.820820308460774	0.22083011534417	0.249036339793508	"Linear regression"	"Beta coefficient"	34	0.0174113445930921
"Sex"	0.559044152643497	-0.161880460180966	1.27996876546796	0.123902959479327	"Linear regression"	"Beta coefficient"	34	0.0174113445930921
"SCZ_PRS"	-0.0963904826174588	-0.45668230559122	0.263901340356302	0.589218436455122	"Linear regression"	"Beta coefficient"	34	0.0174113445930921
