"Variable"	"Log Odds Ratio"	"2.5% C.I."	"97.5% C.I."	"P-value"	"Test"	"metric"	"Num_samples"	"R2"
"(Intercept)"	-0.140888165915629	-2.07103751633848	1.78926118450723	0.877830554774371	"Linear regression"	"Beta coefficient"	20	0.118954160859576
"Sex"	0.0830451176843146	-1.04089183523444	1.20698207060307	0.876347041998713	"Linear regression"	"Beta coefficient"	20	0.118954160859576
"SCZ_PRS"	0.0849162856554268	-0.533368519417647	0.703201090728501	0.772646089777815	"Linear regression"	"Beta coefficient"	20	0.118954160859576
"Rare_Deleterious_SNVs"	-0.0232497785997366	-0.555846064685418	0.509346507485944	0.926731573400988	"Linear regression"	"Beta coefficient"	20	0.118954160859576
"`Genes DEL`"	0.23500729856982	-0.553089875911948	1.02310447305159	0.532781059033272	"Linear regression"	"Beta coefficient"	20	0.118954160859576
"`Genes DUP`"	0.429614746109965	-0.519252647964155	1.37848214018409	0.347984883333794	"Linear regression"	"Beta coefficient"	20	0.118954160859576
