"Variable"	"Log Odds Ratio"	"2.5% C.I."	"97.5% C.I."	"P-value"	"Test"	"metric"	"Num_samples"	"R2"
"(Intercept)"	-0.742371970460496	-1.98100507969285	0.496261138771862	0.225651122693355	"Linear regression"	"Beta coefficient"	23	-0.0451145476267696
"Sex"	0.351816154912552	-0.367829857780518	1.07146216760562	0.320014096761736	"Linear regression"	"Beta coefficient"	23	-0.0451145476267696
"All_rare_del_var"	0.00371410906332004	-0.350783763848627	0.358211981975267	0.982780321092051	"Linear regression"	"Beta coefficient"	23	-0.0451145476267696
