"Variable"	"Log Odds Ratio"	"2.5% C.I."	"97.5% C.I."	"P-value"	"Test"	"metric"	"Num_samples"	"R2"
"(Intercept)"	-0.162673047341176	-0.754542720562779	0.429196625880427	0.526287438718855	"Linear regression"	"Beta coefficient"	12	0.776119777634436
"Sex"	0.498465187396581	-0.875937019099953	1.87286739389311	0.409002838853194	"Linear regression"	"Beta coefficient"	12	0.776119777634436
"SCZ_PRS"	0.366134656255702	-0.56413016588241	1.29639947839381	0.372709735633494	"Linear regression"	"Beta coefficient"	12	0.776119777634436
"Rare_Deleterious_SNVs_LOEUF"	0.224889087536883	-0.268152860346319	0.717931035420086	0.30707299343523	"Linear regression"	"Beta coefficient"	12	0.776119777634436
"`DELs LOEUF<0.35`"	0.0190218742494022	-0.468060367313042	0.506104115811846	0.926982868721369	"Linear regression"	"Beta coefficient"	12	0.776119777634436
"`DUPs LOEUF<0.35`"	-0.377331503558228	-1.02682708427285	0.27216407715639	0.204986021978073	"Linear regression"	"Beta coefficient"	12	0.776119777634436
