"Variable"	"Log Odds Ratio"	"2.5% C.I."	"97.5% C.I."	"P-value"	"Test"	"metric"	"Num_samples"	"R2"
"(Intercept)"	-0.824548261255217	-1.67033145014035	0.0212349276299132	0.0543604380638396	"Linear regression"	"Beta coefficient"	12	0.654945068206711
"Sex"	-0.997820181276897	-2.96184424538225	0.966203882828452	0.260185255700265	"Linear regression"	"Beta coefficient"	12	0.654945068206711
"SCZ_PRS"	1.29561737837136	-0.0337332935307693	2.62496805027349	0.0544092500047932	"Linear regression"	"Beta coefficient"	12	0.654945068206711
"Rare_Deleterious_SNVs_LOEUF"	-0.738349678120744	-1.44290780941506	-0.0337915468264264	0.0426627798208105	"Linear regression"	"Beta coefficient"	12	0.654945068206711
"`DELs LOEUF<0.35`"	0.149048757033127	-0.546992939571518	0.845090453637771	0.619078530249423	"Linear regression"	"Beta coefficient"	12	0.654945068206711
"`DUPs LOEUF<0.35`"	0.665564067605538	-0.262566681911564	1.59369481712264	0.129846524054698	"Linear regression"	"Beta coefficient"	12	0.654945068206711
