"Variable"	"Log Odds Ratio"	"2.5% C.I."	"97.5% C.I."	"P-value"	"Test"	"metric"	"Num_samples"	"R2"
"(Intercept)"	-0.644186127719195	-1.9793723944405	0.691000139002107	0.322984482416896	"Linear regression"	"Beta coefficient"	21	-0.134684649541476
"Sex"	0.250951618956672	-0.545609993914165	1.04751323182751	0.515168807031662	"Linear regression"	"Beta coefficient"	21	-0.134684649541476
"SCZ_PRS"	-0.0659756077693222	-0.521639345225145	0.389688129686501	0.763709082507134	"Linear regression"	"Beta coefficient"	21	-0.134684649541476
"All_rare_del_var"	-0.0226476355623214	-0.424231415918156	0.378936144793513	0.906682181954344	"Linear regression"	"Beta coefficient"	21	-0.134684649541476
