"Variable"	"Log Odds Ratio"	"2.5% C.I."	"97.5% C.I."	"P-value"	"Test"	"metric"	"Num_samples"	"R2"
"(Intercept)"	-0.788587566646902	-1.64796604309267	0.070790909798862	0.0672374877627274	"Linear regression"	"Beta coefficient"	11	0.415746510898417
"Sex"	1.26036418159753	-0.142994993884158	2.66372335707922	0.0721130824208813	"Linear regression"	"Beta coefficient"	11	0.415746510898417
"`DUPs LOEUF<0.35`"	-0.498036453523223	-1.28963778878843	0.293564881741985	0.184881524866198	"Linear regression"	"Beta coefficient"	11	0.415746510898417
