"Variable"	"Log Odds Ratio"	"2.5% C.I."	"97.5% C.I."	"P-value"	"Test"	"metric"	"Num_samples"	"R2"
"(Intercept)"	0.795534961975482	-0.784484600577871	2.37555452452884	0.308439809793964	"Linear regression"	"Beta coefficient"	26	0.060130548302872
"Sex"	-0.447315309403955	-1.36011784377628	0.465487224968373	0.321254240856105	"Linear regression"	"Beta coefficient"	26	0.060130548302872
"`DUPs LOEUF<0.35`"	0.241054488590945	-0.275340338863115	0.757449316045005	0.344261496033022	"Linear regression"	"Beta coefficient"	26	0.060130548302872
